restaurantNumber,restaurantName,latitude,longitude
2207,I-71 & Mansfield,40.691468,-82.51254
1775,Lafayette,40.417906,-86.831375
489,Mansfield OH,40.773204,-82.589849
2927,Tiffin,41.112488,-83.201608
690,Purdue University,40.423701,-86.907167
2467,Corridor G,38.318562,-81.718723
878,BGSU,41.373966,-83.624628
3560,Cambridge & I-70,39.994764,-81.575188
2791,Ashland,40.8608,-82.2708
1811,Perrysburg,41.548701,-83.600682
900,Maumee,41.578844,-83.66412
1068,Holland,41.612578,-83.701442
2077,Evansville Green River Road,37.980819,-87.492085
2785,Bowling Green KY,36.942751,-86.421114
1127,Wooster,40.84967,-81.947159
1012,Sylvania,41.673053,-83.716357
3350,Oregon,41.636178,-83.478503
933,Westgate,41.676601,-83.623213
1736,Franklin Park # 2,41.693315,-83.645571
1547,Sandusky Milan Road,41.416369,-82.671562
3061,New Philadelphia,40.491957,-81.472592
2206,Adrian,41.875702,-84.042525
2872,Massillon,40.795738,-81.527338
2805,Ireland and 31 South Bend,41.628508,-86.252677
807,Medina,41.15056,-81.863833
1423,Wadsworth,41.049712,-81.729649
808,Mishawaka,41.710279,-86.180722
1268,Notre Dame,41.692037,-86.235757
1507,Amherst Lorain,41.416945,-82.208387
3144,Medina & I-71,41.136067,-81.797716
1568,Canton Centre,40.795677,-81.424735
1192,Elyria-Midway Crossing,41.397005,-82.106523
869,Belden Village # 2,40.855239,-81.432933
3186,Barberton,41.010052,-81.588723
1457,Brunswick,41.237845,-81.806825
3566,Sheffield,41.424606,-82.07777
2383,St Clairsville,40.071796,-80.866701
1513,Main & Applegrove,40.892436,-81.405208
1165,Arlington Ridge,40.982711,-81.493884
3444,Green Township,40.958791,-81.463349
1989,North Ridgeville,41.386286,-81.974648
282,Fairlawn,41.135409,-81.637787
81,Strongsville,41.306246,-81.83457
1019,SouthPark Mall,41.309671,-81.819722
951,Highland Square,41.097023,-81.543809
2244,University of Akron,41.072904,-81.513441
1365,Avon City Center,41.458786,-82.01828
3449,Springfield Township,41.0294,-81.461758
771,Champaign,40.110393,-88.230635
355,N Olmsted,41.418205,-81.916335
1669,Valpo,41.469024,-87.030069
832,Middleburg Hts.,41.371515,-81.826474
3159,Cookeville TN,36.138173,-85.508199
3310,West Bay Plaza,41.463702,-81.952375
1837,Champaign Prospect,40.137485,-88.258603
917,Cuyahoga Falls,41.11958,-81.479412
2348,Portage Crossing,41.148172,-81.507624
2802,Fountain City,36.026345,-83.927835
2454,Broadview Heights,41.314096,-81.654757
723,Rocky River,41.461396,-81.852967
2281,Parma 2,41.384207,-81.73832
2633,Brimfield,41.099646,-81.385935
1978,Kamms Corner,41.450292,-81.814071
2528,Pleasant Valley - OH,41.361922,-81.685409
751,Brooklyn (Tiedeman),41.423149,-81.759351
1152,Stow,41.156113,-81.405807
2564,Michigan City,41.673404,-86.89336
2769,Effingham,39.138116,-88.56602
152,Lakewood,41.484839,-81.801136
1627,Mt Union Alliance,40.901415,-81.129039
3282,Crown Point IN,41.421723,-87.334798
37,Kent State,41.154153,-81.35174
80,Rockside Corners,41.396235,-81.641873
3097,W 117th,41.487498,-81.767906
1216,Hudson Station,41.240241,-81.445389
1559,Knoxville UT Campus,35.956593,-83.932755
559,Macedonia,41.312515,-81.523093
2512,Portage IN,41.551197,-87.180853
1158,Briarwood,42.240706,-83.74529
2790,Woodhaven,42.140423,-83.225054
795,Merrillville,41.470746,-87.310861
1000,Steelyard,41.460039,-81.690368
2165,West Town Mall Food Court,35.924314,-84.03697
810,Garfield Heights,41.409464,-81.616331
2063,Knoxville Cedar Bluff,35.915232,-84.089842
955,Ann Arbor Washtenaw,42.255368,-83.693385
2107,Turkey Creek,35.899328,-84.160598
1986,Downtown Cleveland,41.499411,-81.691688
2027,Twinsburg,41.308069,-81.438997
1219,Ann Arbor Go Blue,42.279329,-83.740607
1115,Streetsboro,41.251016,-81.363459
3042,Portage,42.230604,-85.589623
3456,Hendersonville,36.31975,-86.59987
3394,Taylor,42.197691,-83.258088
3441,Ravenna,41.157614,-81.229358
369,Solon,41.385365,-81.440518
1743,Uptown CWRU,41.509752,-81.603895
735,Chagrin Highlands,41.448202,-81.495887
2609,Bradley,41.173868,-87.85215
1762,Cedar Center,41.501692,-81.53834
1729,Kalamazoo,42.295394,-85.655284
2561,Eton,41.462859,-81.480645
2172,Highland IN,41.525502,-87.470687
2718,Canton,42.32299,-83.459483
3073,Legacy Village Relo,41.501434,-81.503974
1991,Clarksville TN,36.598166,-87.286101
2712,Allen Park,42.282955,-83.203583
2586,Sevierville,35.830733,-83.572926
1846,Munster,41.563999,-87.508464
121,Eastgate,41.524944,-81.4372
2527,Highland Heights,41.539326,-81.453421
2567,Lakeshore Blvd.,41.609862,-81.525876
2420,Northville Haggerty,42.424021,-83.433792
1886,Homewood - Flossmoor,41.568079,-87.636924
3283,South Holland,41.600422,-87.602149
1673,Matteson Lincoln Hwy.,41.505648,-87.733312
765,Euclid Avenue,41.626806,-81.429633
1687,Vanderbilt,36.147259,-86.798827
2840,Novi,42.483718,-83.47416
1370,Nashville West End,36.144099,-86.813277
2912,Canfield,41.025144,-80.735312
2842,Brighton MI,42.541001,-83.785801
2787,100 Oaks,36.112256,-86.767125
3153,Washington PA,40.18901,-80.220419
1779,Austintown,41.098545,-80.766099
310,Mentor,41.65781,-81.377075
2040,Belle Meade,36.129387,-86.853176
1389,Green Hills,36.105401,-86.812737
860,Southfield Evergreen,42.481599,-83.241589
1648,Telegraph & 12 Mile,42.497849,-83.28418
2709,Nashville West,36.132694,-86.894666
3223,Smyrna TN,35.978651,-86.564851
1434,Frankfort,41.502393,-87.886747
2821,Mokena,41.54178,-87.851328
3409,Decatur IL,39.898088,-88.955867
968,Boardman,41.023823,-80.643508
1082,Tinley Park,41.600804,-87.794607
2578,University Town Center,39.657422,-80.002337
2098,Crestwood,41.649439,-87.738744
720,Orchard Lake 2,42.539073,-83.359947
2923,Chatham,41.735802,-87.625951
1065,Mentor Heisley,41.676628,-81.310013
586,Beverly,41.721433,-87.679919
1495,Brentwood Nashville,36.029744,-86.791491
3281,New Lenox,41.512455,-87.951034
791,Royal Oak Woodward,42.530744,-83.198054
3465,WVU,39.631726,-79.954637
2556,111th and Cicero Oak Lawn,41.691864,-87.740233
1979,Hyde Park Chicago,41.799695,-87.588031
3272,Concord Township,41.661329,-81.240574
3410,YSU,41.103473,-80.647009
130,Orland Park,41.613066,-87.854807
868,Niles,41.217559,-80.74124
1884,Peters Township,40.274053,-80.127251
2067,Murfreesboro,35.855643,-86.430928
2638,Warren - MI,42.514302,-83.047697
2768,Englewood 63rd & Halsted,41.779975,-87.645145
2173,14 Mile & John R,42.533882,-83.105992
3171,Cortland OH,41.276864,-80.773925
877,Robinson Township,40.448909,-80.174599
746,Troy,42.563563,-83.168234
1137,Oak Lawn 95th,41.720023,-87.776558
2347,Bridgeville,40.354118,-80.114269
3500,Painesville,41.72497,-81.24836
2796,Chicago-Ford City,41.754832,-87.740607
2596,Bloomfield - MI,42.607501,-83.300305
3298,15 & Van Dyke,42.554084,-83.028252
779,East Lansing MSU,42.733636,-84.4773
3047,Bridgeview 87th & Harlem,41.731263,-87.79849
2658,Homer Glen,41.632041,-87.931793
3454,Lansing Mall Relo,42.740941,-84.633078
2481,Macomb Mall,42.535861,-82.912491
2409,53rd and Pulaski,41.796156,-87.723641
3430,South Wabash,41.868,-87.62606
1909,South Loop,41.868037,-87.641059
1524,Cool Springs,35.945246,-86.825125
88,Jackson,41.878341,-87.627259
850,Madison & State,41.882222,-87.627114
2153,311 S. Wacker,41.877852,-87.635373
1896,South Hills,40.347907,-80.054165
711,Madison LaSalle,41.881865,-87.63277
240,Michigan & Wacker,41.887284,-87.624809
655,230 W. Monroe,41.881215,-87.635085
144,Ontario,41.893262,-87.620664
3396,Lockport IL,41.59714,-88.01857
1292,Presidential Towers,41.88046,-87.640922
91,Franklin,41.885602,-87.635243
484,River North,41.891812,-87.628493
1803,Cochran Road,40.391647,-80.059893
156,Division,41.903758,-87.628874
3367,IMD Damen Ogden,41.87359,-87.67583
1401,Pipers Alley,41.911327,-87.635126
2071,Boone,36.199188,-81.657847
2349,South Joliet,41.522654,-88.147525
724,Rochester Hills,42.642004,-83.131413
1035,Bloomington Veterans Prkwy,40.482568,-88.952214
2553,Cicero,41.850979,-87.743851
52,Orchard,41.923546,-87.646445
42,Clybourn Commons,41.917751,-87.660048
2731,Veterans & College Normal,40.510087,-88.954744
308,Diversey,41.932968,-87.644199
505,Damen Avenue,41.913331,-87.67732
818,Hall & Schoenherr,42.626416,-82.98776
2721,Countryside LaGrange Road,41.78479,-87.868119
413,Kenmore,41.939757,-87.655144
1740,Ashland Diversey,41.932846,-87.668178
1696,Village at Rochester Hills,42.681617,-83.192438
3433,Wrigleyville,41.946928,-87.655496
2639,Baldwin Road,42.709054,-83.306591
1753,Berwyn,41.850672,-87.802814
1244,Elston Logan,41.931623,-87.686359
2971,Blacksburg University Crossroads,37.231776,-80.43118
1533,Market Square,40.44061,-80.00241
1671,Joliet The Pointe,41.576883,-88.158892
1633,IL State,40.504275,-88.99489
752,Willowbrook 83,41.758678,-87.944339
1922,Western and Roscoe,41.941367,-87.688757
1089,Century III,40.333354,-79.945873
2297,Romeoville,41.616328,-88.122773
1570,LaGrange Relo,41.817789,-87.870029
1354,Virginia Tech,37.230658,-80.415137
2408,Broadway and Foster,41.977139,-87.66042
